"g_id","g_link"
"91618","https://store.steampowered.com/app/91618/Sanctum_Map_Pack_2/?snr=1_241_4_casual_104_1149"
"92803","https://store.steampowered.com/app/92803/SpaceChem_63_Corvi/?snr=1_241_4_casual_104_444"
"94303","https://store.steampowered.com/app/94303/The_Dream_Machine_Chapter_3/?snr=1_241_4_casual_104_99"
"94304","https://store.steampowered.com/app/94304/The_Dream_Machine_Chapter_4/?snr=1_241_4_casual_104_712"
"98600","https://store.steampowered.com/app/98600/Demolition_Inc/?snr=1_241_4_casual_104_508"
"98609","https://store.steampowered.com/app/98609/Demolition_Inc__Level__Weapon_DLC/?snr=1_241_4_casual_104_1562"
"98820","https://store.steampowered.com/app/98820/Dungeons_of_Dredmor_Realm_of_the_Diggle_Gods/?snr=1_241_4_casual_104_573"
"98822","https://store.steampowered.com/app/98822/Dungeons_of_Dredmor_Conquest_of_the_Wizardlands/?snr=1_241_4_casual_104_521"
"99910","https://store.steampowered.com/app/99910/Puzzle_Pirates/?snr=1_241_4_casual_104_127"
"105802","https://store.steampowered.com/app/105802/Pixeljunk_Eden_Soundtrack/?snr=1_241_4_casual_104_1637"
"108210","https://store.steampowered.com/app/108210/Memoir_44_Online/?snr=1_241_4_casual_104_323"
"108230","https://store.steampowered.com/app/108230/Ticket_to_Ride__Europe/?snr=1_241_4_casual_104_226"
"108231","https://store.steampowered.com/app/108231/Ticket_to_Ride__Switzerland/?snr=1_241_4_casual_104_269"
"108232","https://store.steampowered.com/app/108232/Ticket_to_Ride__USA_1910/?snr=1_241_4_casual_104_845"
"108233","https://store.steampowered.com/app/108233/Ticket_to_Ride__Legendary_Asia/?snr=1_241_4_casual_104_779"
"202452","https://store.steampowered.com/app/202452/Crazy_Machines_2_Happy_New_Year_DLC/?snr=1_241_4_casual_104_1637"
"204371","https://store.steampowered.com/app/204371/Castle_Crashers__Pink_Knight_Pack/?snr=1_241_4_casual_104_42"
"204372","https://store.steampowered.com/app/204372/Castle_Crashers__Blacksmith_Pack/?snr=1_241_4_casual_104_42"
"204900","https://store.steampowered.com/app/204900/Quantum_Conundrum_The_Desmond_Debacle/?snr=1_241_4_casual_104_625"
"204901","https://store.steampowered.com/app/204901/Quantum_Conundrum_IKEaramba/?snr=1_241_4_casual_104_625"
"204902","https://store.steampowered.com/app/204902/Quantum_Conundrum_Soundtrack/?snr=1_241_4_casual_104_1458"
"205190","https://store.steampowered.com/app/205190/Rocksmith/?snr=1_241_4_casual_104_68"
"206088","https://store.steampowered.com/app/206088/Rocksmith__Heavy_Metal__Gear_Pack/?snr=1_241_4_casual_104_1230"
"206089","https://store.steampowered.com/app/206089/Rocksmith__Tone_Customization__Time_Saver_Pack/?snr=1_241_4_casual_104_1514"
"206090","https://store.steampowered.com/app/206090/Rocksmith__The_Black_Keys__Tighten_Up/?snr=1_241_4_casual_104_1171"
"206091","https://store.steampowered.com/app/206091/Rocksmith__Radiohead__Bodysnatchers/?snr=1_241_4_casual_104_1223"
"206092","https://store.steampowered.com/app/206092/Rocksmith__Lynyrd_Skynyrd__Free_Bird/?snr=1_241_4_casual_104_1065"
"206093","https://store.steampowered.com/app/206093/Rocksmith__Boston__More_Than_a_Feeling/?snr=1_241_4_casual_104_1123"
"206094","https://store.steampowered.com/app/206094/Rocksmith__The_Allman_Brothers_Band__Jessica/?snr=1_241_4_casual_104_1376"
"206095","https://store.steampowered.com/app/206095/Rocksmith__Deep_Purple__Smoke_on_the_Water/?snr=1_241_4_casual_104_965"
"206096","https://store.steampowered.com/app/206096/Rocksmith__T_Rex__20th_Century_Boy/?snr=1_241_4_casual_104_1212"
"206097","https://store.steampowered.com/app/206097/Rocksmith__Three_Days_Grace__I_Hate_Everything_About_You/?snr=1_241_4_casual_104_1136"
"206098","https://store.steampowered.com/app/206098/Rocksmith__Vampire_Weekend__Cousins/?snr=1_241_4_casual_104_1231"
"206099","https://store.steampowered.com/app/206099/Rocksmith__Megadeth__Symphony_of_Destruction/?snr=1_241_4_casual_104_1131"
"206100","https://store.steampowered.com/app/206100/Rocksmith__Megadeth__Hangar_18/?snr=1_241_4_casual_104_1440"
"206101","https://store.steampowered.com/app/206101/Rocksmith__Megadeth__Public_Enemy_No_1/?snr=1_241_4_casual_104_1489"
"206104","https://store.steampowered.com/app/206104/Rocksmith__The_Black_Keys__Gold_on_the_Ceiling/?snr=1_241_4_casual_104_1369"
"206105","https://store.steampowered.com/app/206105/Rocksmith__The_Black_Keys__Mind_Eraser/?snr=1_241_4_casual_104_1506"
"206106","https://store.steampowered.com/app/206106/Rocksmith__The_Black_Keys__Just_Got_To_Be/?snr=1_241_4_casual_104_1439"
"206108","https://store.steampowered.com/app/206108/Rocksmith__Blue_Oyster_Cult__Dont_Fear_The_Reaper/?snr=1_241_4_casual_104_1338"
"206109","https://store.steampowered.com/app/206109/Rocksmith__Heart__Barracuda/?snr=1_241_4_casual_104_1129"
"206110","https://store.steampowered.com/app/206110/Rocksmith__David_Bowie__Space_Oddity/?snr=1_241_4_casual_104_1134"
"206111","https://store.steampowered.com/app/206111/Rocksmith__Pearl_Jam__Black/?snr=1_241_4_casual_104_1378"
"206112","https://store.steampowered.com/app/206112/Rocksmith__Pearl_Jam__Jeremy/?snr=1_241_4_casual_104_1378"
"206113","https://store.steampowered.com/app/206113/Rocksmith__blink182__Dammit/?snr=1_241_4_casual_104_1373"
"206114","https://store.steampowered.com/app/206114/Rocksmith__blink182__All_The_Small_Things/?snr=1_241_4_casual_104_1150"
"206115","https://store.steampowered.com/app/206115/Rocksmith__blink182__Whats_My_Age_Again/?snr=1_241_4_casual_104_1367"
"206117","https://store.steampowered.com/app/206117/Rocksmith__3_Doors_Down__When_Im_Gone/?snr=1_241_4_casual_104_1456"
"206118","https://store.steampowered.com/app/206118/Rocksmith__3_Doors_Down__Kryptonite/?snr=1_241_4_casual_104_1349"
